大标题,采购项目名称,品目,采购单位,行政区域,公告时间,获取招标文件时间,招标文件售价,获取招标文件的地点,开标时间,开标地点,预算金额,项目联系人,项目联系电话,采购单位地址,采购单位联系方式,代理机构名称,代理机构地址,代理机构联系方式,附件1,附件2
华东理工大学圆二色光谱仪国际公开招标公告,华东理工大学圆二色光谱仪,货物/通用设备/仪器仪表/分析仪器/其他分析仪器,华东理工大学,上海市,2022年01月19日  15:45,"2022年01月20日至2022年01月27日, 每日上午:9:00 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥500,上海市长寿路285号恒达大厦16楼1610室,2022年02月18日  09:30,上海市长寿路285号恒达广场10楼,￥120.000000万元（人民币）,王老师,021-64252247,上海市徐汇区梅陇路130号,王老师  021-64252247,上海市机械设备成套（集团）有限公司,上海市长寿路285号恒达大厦16楼1610室,张洁玮 沈飏  86-21-32557719; 86-21-32557775,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537430.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537430.htm
国家气象信息中心气象信息化系统工程-信息安全保障分系统（基础网络安全及安全应用软件开发）-第二包采购项目招标公告,国家气象信息中心气象信息化系统工程-信息安全保障分系统（基础网络安全及安全应用软件开发）-第二包采购项目,,国家气象信息中心(中国气象局气象数据中心),市辖区,2022年01月19日  16:02,"2022年01月17日至2022年02月10日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年02月11日  09:00,项目通过网上开标大厅进行开标，请在开标当日登录国e采系统点击“网上开标”进入网上开标大厅，在规定时间内等待解密和唱标,￥969.640000万元（人民币）,刘士伟,010-55602803,北京市海淀区中关村南大街46号,010-68408545,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537359.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537359.htm
华北电力大学校园网公网使用费及IP地址服务费采购项目招标公告,华北电力大学校园网公网使用费及IP地址服务费采购项目,,华北电力大学,市辖区,2022年01月19日  16:08,"2022年01月17日至2022年02月10日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年02月11日  09:00,项目通过网上开标大厅进行开标，请在开标当日登录国e采系统点击“网上开标”进入网上开标大厅，在规定时间内等待解密和唱标,￥265.000000万元（人民币）,刘士伟,010-55602803,北京市昌平区北农路2号,010-61772996,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537424.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537424.htm
中国地质调查局自然资源综合调查指挥中心2020年调整预算统购实验测试装备（进口）—电感耦合等离子体质谱仪公开招标公告,2020年调整预算统购实验测试装备（进口）—电感耦合等离子体质谱仪,货物/通用设备/仪器仪表/分析仪器/质谱仪,中国地质调查局自然资源综合调查指挥中心,北京市,2022年01月19日  16:08,"2022年01月19日至2022年01月26日, 每日上午:9:00 至 11:00  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥500,北京市朝阳区新源南路6号京城大厦B座5层505室,2022年02月16日  09:30,北京市朝阳区新源南路6号京城大厦B座5层第八会议室,￥150.000000万元（人民币）,李玲丽、王磊、符群慕,010-84865055-161/205/156,北京市西城区红莲南路55号,别女士  010-59305174,中信国际招标有限公司,北京市朝阳区新源南路6号京城大厦A座8层,李玲丽、王磊、符群慕；010-84865055-161/205/156,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537419.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537419.htm
华中科技大学校史馆布展改造项目公开招标公告,华中科技大学校史馆布展改造项目,服务/会议和展览服务/展览服务/其他会展服务,华中科技大学,湖北省,2022年01月19日  16:09,"2022年01月19日至2022年01月26日, 每日上午:9:00 至 12:00  下午:14:00 至 17:00（北京时间，法定节假日除外）",￥400,湖北嘉汇志诚招标咨询有限公司官网（网址：www.zczbzx.com）,2022年02月11日  14:30,湖北嘉汇志诚招标咨询有限公司1号开标室,￥350.000000万元（人民币）,祝晶、廖寿杰,027-86652085-807,武汉市洪山区珞喻路1037号,李老师、（027）87540659,湖北嘉汇志诚招标咨询有限公司,武汉市武昌区和平大道513号绿地铭创大厦2005室,祝晶、廖寿杰027-86652085-807,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537443.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537443.htm
中国人民银行郑州中心支行辖内地市中心支行业务网核心交换机更新采购项目公开招标公告,中国人民银行郑州中心支行辖内地市中心支行业务网核心交换机更新采购项目,"货物/通用设备/计算机设备及软件/计算机网络设备/交换设备/以太网交换机,货物/通用设备/计算机设备及软件/存储设备/存储用光纤交换机",中国人民银行郑州中心支行,北京市,2022年01月19日  16:25,"2022年01月20日至2022年01月26日, 每日上午:9:00 至 11:00  下午:14:00 至 16:00（北京时间，法定节假日除外）",￥0,"北京市西城区金融街35号,国际企业大厦B座5层501",2022年02月14日  14:00,北京市西城区金融大街33号通泰大厦C座911室,￥448.000000万元（人民币）,王女士、张先生,66195573、66194046,河南省郑州市郑东新区商务外环路21号,崔先生   （0371）69089077,中国人民银行集中采购中心,"北京市西城区金融街35号,国际企业大厦B座5层501",王女士、张先生  66195573  66194046,中国人民银行郑州中心支行辖内地市中心支行业务网核心交换机更新采购需求.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537563.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537563.htm
中华人民共和国上海出入境边防检查总站上海出入境边防检查总站定期核酸检测项目公开招标公告,上海出入境边防检查总站定期核酸检测项目,服务/医疗卫生和社会服务/医疗卫生服务/其他医疗卫生服务,中华人民共和国上海出入境边防检查总站,上海市,2022年01月19日  16:52,"2022年01月20日至2022年01月26日, 每日上午:9:00 至 11:30  下午:13:30 至 17:00（北京时间，法定节假日除外）",￥600,上海市浦东新区向城路58号6楼,2022年02月09日  09:30,上海市浦东新区向城路58号6楼,￥432.000000万元（人民币）,王璇,18918322970,上海市浦东新区滨江大道233号406室,高老师，021-31361053,上海百通项目管理咨询有限公司,上海市浦东新区向城路58号6楼,王璇，18918322970,采购需求.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17538145.htm,采购公告.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17538145.htm
复旦大学附属眼耳鼻喉科医院小儿眼底照相机公开招标公告,小儿眼底照相机,货物/专用设备/医疗设备/其他医疗设备,复旦大学附属眼耳鼻喉科医院,上海市,2022年01月18日  14:55,"2022年01月18日至2022年01月25日, 每日上午:9:00 至 11:30  下午:13:00 至 16:30（北京时间，法定节假日除外）",￥700,上海东松医疗科技股份有限公司（微信公众号“东松投标”）,2022年02月10日  10:00,中国上海市宁波路1号申华金融大厦10楼会议室,￥250.000000万元（人民币）,刘韵、陈忆青,0086-21-63230480转8606、8616,中国上海市汾阳路83号,孙琼021-64370170,上海东松医疗科技股份有限公司,中国上海市宁波路1号申华金融大厦11楼,刘韵、陈忆青0086-21-63230480转8606、8616,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220118_17532424.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220118_17532424.htm
北京师范大学便携式近红外脑功能成像系统采购项目公开招标公告,北京师范大学便携式近红外脑功能成像系统采购项目,货物/专用设备/专用仪器仪表/心理仪器,北京师范大学,北京市,2022年01月18日  15:02,"2022年01月18日至2022年01月25日, 每日上午:9:00 至 11:30  下午:13:30 至 17:00（北京时间，法定节假日除外）",￥200,为减少人员聚集，本项目采购文件暂停现场发售，请电汇支付费用。非常时期如有不便，敬请谅解。,2022年02月17日  14:00,北京中教仪国际招标代理有限公司4楼会议室，北京市海淀区文慧园北路10号,￥139.500000万元（人民币）,施歌、俞学东、杨硕,010-59893121、010-59893109、010-59893129,北京市新街口外大街19号,滕老师，zfcg@bnu.edu.cn,北京中教仪国际招标代理有限公司,北京市海淀区文慧园北路10号,施歌、俞学东、杨硕010-59893121、010-59893109、010-59893129,采购需求.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220118_17532691.htm,报名登记表-单位名称.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220118_17532691.htm
民航上海医院国家平台定点医疗机构接口开发公开招标公告,民航上海医院国家平台定点医疗机构接口开发,货物/通用设备/计算机设备及软件/计算机软件/应用软件/行业应用软件,民航上海医院,上海市,2022年01月18日  15:11,"2022年01月19日至2022年01月25日, 每日上午:9:30 至 11:00  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥500,上海市长寿路285号恒达大厦22楼16号会议室,2022年02月10日  13:30,上海市长寿路285号恒达大厦22楼13号会议室,￥17.500000万元（人民币）,张晔,021-32557718,上海市红宝石路398号,张骏 021-62758030,上海机电设备招标有限公司,上海市长寿路285号22楼16号会议室,张晔 021-32557718 ；裴思园 021-32557565,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220118_17532757.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220118_17532757.htm
上海铁路公安局杭州公安处2022年度安保协勤外包服务采购项目公开招标公告,上海铁路公安局杭州公安处2022年度安保协勤外包服务采购项目,"服务/商务服务/其他商务服务,服务/房地产服务/物业管理服务,服务/商务服务/安全服务",上海铁路公安局杭州公安处,杭州市,2022年01月18日  15:46,"2022年01月19日至2022年01月25日, 每日上午:9:00 至 11:30  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥600,中招联合招标采购平台（http://www.365trade.com.cn）,2022年02月09日  09:30,浙江省杭州市萧山区金城路185号商会大厦B座802室,￥2089.000000万元（人民币）,刘女士,010-82582703-810,浙江省杭州市清江路60号,黄老师 0571-56720648,北京华夏京诚咨询有限公司,北京市海淀区西直门北大街甲43号金运大厦B座802室（西直门文慧桥西南角）,刘女士  010-82582703-810,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220118_17533125.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220118_17533125.htm
东北大学学生活动中心多媒体教室建设项目采购项目（二次）招标公告,东北大学学生活动中心多媒体教室建设项目采购项目（二次）,,东北大学,沈阳市,2022年01月18日  16:06,"2022年01月12日至2022年02月10日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年02月11日  09:00,项目通过网上开标大厅进行开标，请在开标当日登录国e采系统点击“网上开标”进入网上开标大厅，在规定时间内等待解密和唱标,￥1324.070000万元（人民币）,刘士伟,010-55602803,辽宁省沈阳市和平区文化路3号巷11号,024-83689155,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220118_17533045.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220118_17533045.htm
辽阳市消防救援支队智能接处警系统建设项目公开招标公告,辽阳市消防救援支队智能接处警系统建设项目,服务/信息技术服务/软件开发服务/应用软件开发服务/行业应用软件开发服务,辽阳市消防救援支队,市辖区,2022年01月18日  16:30,"2022年01月18日至2022年01月25日, 每日上午:8:00 至 11:30  下午:13:00 至 17:00（北京时间，法定节假日除外）",￥500,辽宁建信项目管理有限公司（辽阳市白塔区青年大街168-47号）,2022年02月11日  09:00,辽阳市公共资源交易中心第五开标室（辽阳市文圣区新城路9号辽阳市人民政府A座四楼） ,￥237.460000万元（人民币）,丁月、张工,0419-3650033,15941960599,曹洛阳,辽宁建信项目管理有限公司,辽阳市白塔区青年大街168-47号,丁月、张工0419-3650033,附件购买招标文件登记表.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220118_17533623.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220118_17533623.htm
北京交通大学基于互联网的实时交互式教学系统及教学资源共享平台建设和租用服务项目公开招标公告,北京交通大学基于互联网的实时交互式教学系统及教学资源共享平台建设和租用服务项目,服务/信息技术服务/软件开发服务/支撑软件开发服务,北京交通大学,北京市,2022年01月18日  16:41,"2022年01月18日至2022年01月25日, 每日上午:8:30 至 12:00  下午:12:00 至 16:30（北京时间，法定节假日除外）",￥500,获取方式：邮件（潜在投标人可从“中国政府采购网”搜索该项目招标公告，下载电子版报名登记表，报名期限截止时间前，将报名表、支付标书款凭证的扫描件发至邮箱635176398@qq.com，逾期恕不接受）。,2022年02月14日  09:30,北京市朝阳区南磨房路37号华腾北搪商务大厦11层1113室。,￥32.000000万元（人民币）,李响,010-51909075,北京市海淀区上园村3号,侯老师 010-51683701,中天信远国际招投标咨询(北京)有限公司,北京市朝阳区南磨房路37号华腾北搪商务大厦11层1103室,王师安、鲁智慧 010-51909075,F26033招标公告（基于互联网的实时交互式教学系统及教学资源共享平台建设和租用服务）.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220118_17533469.htm,北京交通大学基于互联网的实时交互式教学系统及教学资源共享平台建设和租用服务项目-报名登记表.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220118_17533469.htm
